name,category,rating,reviews_count,latitude,longitude,address,url,imageUrls,place_type,source,location,webUrl,image,amenities,price_range,rating_cleanliness,rating_service,rating_location,rating_value,popularity_score,tags,opening_hours,best_time_to_visit,peak_hours,wheelchair_accessible,family_friendly,cuisine_type,attraction_type,star_rating
Beach House Restaurant & Bar,Restaurant,4.2,1851.0,-20.0155571,57.5805129,"Royal Rd., B13, Grand Baie, Mauritius",https://www.google.com/maps/search/?api=1&query=Beach%20House%20Restaurant%20%26%20Bar&query_place_id=ChIJ-cfv7QyrfSERHtfn_4nUwD4,https://lh5.googleusercontent.com/p/AF1QipMUSnPFHkKNgtyZi8lcHw3j_kR8dugeuVClCvRg=w426-h240-k-no,restaurant,Google Maps,,,,"Reservation Required, Outdoor Seating, Free Wi-Fi, Wheelchair Accessible, Parking, Takeaway, Pet-Friendly, Live Music, Alcohol Served, Open Kitchen",Medium,5.0,3.9,3.2,4.9,1851.0,Family-Friendly,10:00 AM - 6:00 PM,Winter,10:00 AM - 2:00 PM,yes,no,Mauritian,Adventure,Luxury
Master Grilled,Fast food restaurant,3.3,7.0,-20.0333386,57.591549,"Royal Road, Grand Baie, Mauritius",https://www.google.com/maps/search/?api=1&query=Master%20Grilled&query_place_id=ChIJO403HYqrfSERr2q6y2W_54s,https://lh5.googleusercontent.com/p/AF1QipPytlUbzHjPQ7F77mCi1J-CcoLyU9wp3DIkQG7b=w408-h306-k-no,restaurant,Google Maps,,,,"Wi-Fi, Pool, Parking, Snorkeling",Luxury,3.4,4.3,3.6,3.7,7.0,Relaxing,10:00 AM - 6:00 PM,Winter,3:00 PM - 6:00 PM,no,no,Italian,Cultural,3-star
Delice Royal Restaurant,Restaurant,4.4,26.0,-20.2310434,57.5500451,"Verdun, Mauritius",https://www.google.com/maps/search/?api=1&query=Delice%20Royal%20Restaurant&query_place_id=ChIJNV161J5bfCERm8_mBAz14Es,https://lh5.googleusercontent.com/p/AF1QipP5ygA6_0U_CGeUgwXuIg0JWc3Yitn82ddq9k6v=w408-h544-k-no,restaurant,Google Maps,,,,"Smoking Area, Happy Hours, Parking, Free Wi-Fi, Live Music, Reservation Required, Takeaway, Pet-Friendly, Alcohol Served, Kids Menu",Low,3.7,3.1,4.5,3.2,26.0,Scenic Views,24/7,Summer,3:00 PM - 6:00 PM,no,yes,Chinese,Scenic,3-star
Red Restaurant,Restaurant,4.0,216.0,-20.022258,57.578756,"LA CROISETTE, Grand Baie, Mauritius",https://www.google.com/maps/search/?api=1&query=Red%20Restaurant&query_place_id=ChIJQwFmAROrfSER5ozroAJ4UJo,https://lh5.googleusercontent.com/p/AF1QipOG7dR0H98NWpFiY6voIA5yyKBegL4b3EXhRHEg=w408-h306-k-no,restaurant,Google Maps,,,,"Live Music, Vegan Options, Pet-Friendly, Wheelchair Accessible, Outdoor Seating, Reservation Required, Free Wi-Fi, Happy Hours, Parking, Smoking Area",Medium,3.1,3.0,4.9,4.9,216.0,Nature Lovers,10:00 AM - 6:00 PM,Summer,3:00 PM - 6:00 PM,yes,yes,Italian,Adventure,Luxury
Resto Jaun Palace,Family restaurant,4.8,15.0,-20.2331798,57.6796674,"B55, Camp de Masque, Mauritius",https://www.google.com/maps/search/?api=1&query=Resto%20Jaun%20Palace&query_place_id=ChIJ7xBh9c35fCERB87f4lF1cTM,https://lh5.googleusercontent.com/p/AF1QipNpOxJSWNSOQKJU_W4iT0A62b6OGr6b6BtocPYW=w408-h544-k-no,restaurant,Google Maps,,,,"Breakfast Included, Free Parking, Scuba Diving",Medium,4.1,4.4,4.0,3.9,15.0,Nature Lovers,9:00 AM - 8:00 PM,Summer,10:00 AM - 2:00 PM,no,no,French,Historical,5-star
The Food Factory,Fast food restaurant,3.8,358.0,-20.0240862,57.5882094,"Sottise Rd, Grand Baie, Mauritius",https://www.google.com/maps/search/?api=1&query=The%20Food%20Factory&query_place_id=ChIJjfK523GrfSERS25NcwJHN00,https://lh5.googleusercontent.com/p/AF1QipNMOgc7fQcIy8N8vQ2jCYsj5xqjN8s5PlVKBTJg=w408-h408-k-no,restaurant,Google Maps,,,,"Breakfast Included, Free Parking, Local Cuisine",Low,4.6,4.0,3.9,3.1,358.0,Budget-Friendly,24/7,Summer,10:00 AM - 2:00 PM,yes,no,Chinese,Shopping,5-star
L'Ardoise Brasserie,French restaurant,4.6,250.0,-20.2244415,57.5254962,"Les Alles D'Helvetia, Moka, Mauritius",https://www.google.com/maps/search/?api=1&query=L'Ardoise%20Brasserie&query_place_id=ChIJESlBYvlbfCERdb-Ag74SFj0,https://lh5.googleusercontent.com/p/AF1QipMXUrPbUWTutA1fH5uys8G62f44m7DL8Ejg3sfX=w408-h544-k-no,restaurant,Google Maps,,,,"Pet-Friendly, Outdoor Seating, Nature Trails",Luxury,3.9,3.2,4.3,3.7,250.0,Couple Retreat,24/7,Summer,3:00 PM - 6:00 PM,yes,no,Indian,Historical,3-star
Saffron Grill - Grand Bay,Indian restaurant,4.1,1652.0,-20.0243125,57.5761875,"Grand Baie, Mauritius",https://www.google.com/maps/search/?api=1&query=Saffron%20Grill%20-%20Grand%20Bay&query_place_id=ChIJjQzgrhSrfSERlt2E9XmpRNU,https://lh5.googleusercontent.com/p/AF1QipOg1kvc3KVV6yapcEB5liC5Uwyx-RkbieB3TAQc=w408-h544-k-no,restaurant,Google Maps,,,,"Gym, Spa, Wi-Fi, Cultural Experiences",Luxury,3.7,4.5,3.8,3.0,1652.0,Business-Friendly,10:00 AM - 6:00 PM,All Year,10:00 AM - 2:00 PM,yes,no,Chinese,Shopping,4-star
Green Dolphin Restaurant,Restaurant,4.2,26.0,-20.231931,57.6350154,"QJ9P+62C, St Julien d Hotman, Mauritius",https://www.google.com/maps/search/?api=1&query=Green%20Dolphin%20Restaurant&query_place_id=ChIJYazajgJYfCERnCLvWeIkIF0,https://lh5.googleusercontent.com/p/AF1QipODNRm1LPk3AwfcCBQmZEZR_RxXcvh7rkLOUae6=w426-h240-k-no,restaurant,Google Maps,,,,"Open Kitchen, Kids Menu, Outdoor Seating, Reservation Required, Alcohol Served, Takeaway, Private Dining, Pet-Friendly, Happy Hours, Parking",Low,4.5,3.0,4.5,4.8,26.0,Couple Retreat,24/7,All Year,3:00 PM - 6:00 PM,no,no,Italian,Adventure,5-star
Luigi's Italian Pizzeria & Pasta Bar,Italian restaurant,4.4,2078.0,-20.0243143,57.5763775,"Royal Road, B13, Grand Baie, Mauritius",https://www.google.com/maps/search/?api=1&query=Luigi's%20Italian%20Pizzeria%20%26%20Pasta%20Bar&query_place_id=ChIJHeM6KqerfSEREq0_ZD2ygII,https://lh5.googleusercontent.com/p/AF1QipP5SKkUp8Hu7fqSXefh4sefVXmvjJ4vFy2GnJrA=w408-h306-k-no,restaurant,Google Maps,,,,"Gym, Spa, Wi-Fi, Free Parking",Luxury,3.6,5.0,4.7,3.8,2078.0,Romantic,9:00 AM - 8:00 PM,All Year,6:00 PM - 9:00 PM,no,yes,Mauritian,Historical,5-star
Sangam Taj Restaurant,Indian restaurant,4.1,950.0,-20.2739139,57.5383236,"PGFR+H6H, B48, Vacoas-Phoenix, Mauritius",https://www.google.com/maps/search/?api=1&query=Sangam%20Taj%20Restaurant&query_place_id=ChIJnw8_DcJbfCERrbUug9xECYs,https://lh5.googleusercontent.com/p/AF1QipOCmbw4aJ2a9aZggGJ8NNY6zfr33r5o3_05PvCL=w408-h544-k-no,restaurant,Google Maps,,,,"Pet-Friendly, Outdoor Seating, Local Cuisine",Luxury,4.1,4.3,3.5,4.7,950.0,Luxury Stay,Closed on Sundays,Summer,3:00 PM - 6:00 PM,yes,yes,Italian,Scenic,4-star
Halime' Sultan Turkish Restaurant,Restaurant,4.0,389.0,-20.0240008,57.5763993,"Mont Choisy Le Mall, Grand Baie, Mauritius",https://www.google.com/maps/search/?api=1&query=Halime'%20Sultan%20Turkish%20Restaurant&query_place_id=ChIJAQDwqxSrfSERAXCWaNvandw,https://lh5.googleusercontent.com/p/AF1QipPAxjSLUZ0fZpATNZmUicN5JRTvM9yX5OwVeLAR=w408-h544-k-no,restaurant,Google Maps,,,,"Free Wi-Fi, Live Music, Pet-Friendly, Smoking Area, Alcohol Served, Happy Hours, Parking, Kids Menu, Vegan Options, Takeaway",Medium,3.7,3.3,4.9,4.0,389.0,Relaxing,Closed on Sundays,Summer,6:00 PM - 9:00 PM,no,yes,Indian,Scenic,Luxury
Restaurant la digue,Family restaurant,5.0,4.0,-20.2446893,57.6572545,"QM44+4WC, Bel Etang, Mauritius",https://www.google.com/maps/search/?api=1&query=Restaurant%20la%20digue&query_place_id=ChIJv92IMwD3fCER6vg90_j5FMQ,,restaurant,Google Maps,,,,"Wi-Fi, Pool, Parking, Local Cuisine",Low,3.7,4.0,3.0,4.6,4.0,Romantic,24/7,Summer,10:00 AM - 2:00 PM,no,yes,French,Historical,4-star
Waka Waka Snak,Restaurant,4.2,86.0,-20.242565,57.6351727,"A 7, Medine Camp de Masque, Mauritius",https://www.google.com/maps/search/?api=1&query=Waka%20Waka%20Snak&query_place_id=ChIJPba9ZjxZfCERAeKu588Wxc0,https://lh5.googleusercontent.com/p/AF1QipNbMGdvwvb0a293egQu7hMkQoJLb5CZ3fEVbyc=w507-h240-k-no,restaurant,Google Maps,,,,"Private Dining, Vegan Options, Reservation Required, Smoking Area, Takeaway, Free Wi-Fi, Parking, Happy Hours, Open Kitchen, Kids Menu",Luxury,4.7,4.5,3.7,3.3,86.0,Couple Retreat,10:00 AM - 6:00 PM,Summer,6:00 PM - 9:00 PM,no,yes,Chinese,Historical,5-star
Top Deck Bar & Grill,Bar & grill,4.7,88.0,-20.0150087,57.5829938,"XHPM+253, Coastal Road, Grand Baie, Mauritius",https://www.google.com/maps/search/?api=1&query=Top%20Deck%20Bar%20%26%20Grill&query_place_id=ChIJtdm3Rt-rfSERopw5Q6rmWuk,https://lh5.googleusercontent.com/p/AF1QipN5nrnvqfYOoRZzG0Y-2YL3tRVfLqv64obVKptn=w408-h544-k-no,restaurant,Google Maps,,,,"Breakfast Included, Free Parking, Water Sports",High,4.7,3.5,3.2,3.5,88.0,Beachfront,9:00 AM - 8:00 PM,Winter,10:00 AM - 2:00 PM,yes,no,Chinese,Cultural,5-star
Le Capitaine Restaurant Grand Baie,Seafood restaurant,4.0,1190.0,-20.0149409,57.5714154,"B13 Royal Rd, Grand Baie, Mauritius",https://www.google.com/maps/search/?api=1&query=Le%20Capitaine%20Restaurant%20Grand%20Baie&query_place_id=ChIJK_2YyHCrfSERtSKX_iuKNy8,https://lh5.googleusercontent.com/p/AF1QipMxVSf1CDxdrFS9ANwjTul-9-pKjm0MAZs874mg=w408-h272-k-no,restaurant,Google Maps,,,,"Gym, Spa, Wi-Fi, Scuba Diving",High,3.1,4.9,3.0,3.2,1190.0,Family-Friendly,9:00 AM - 8:00 PM,All Year,3:00 PM - 6:00 PM,yes,no,French,Historical,5-star
Sanju Fusion Restaurant,Family restaurant,3.8,58.0,-20.232772,57.6324965,"B24, St Julien d Hotman, Mauritius",https://www.google.com/maps/search/?api=1&query=Sanju%20Fusion%20Restaurant&query_place_id=ChIJLwXALB1YfCERwiCQju0P6aE,https://lh5.googleusercontent.com/p/AF1QipOoi5fEf4jLSQUikNAwh5_sr86eHIP89NwNPinS=w426-h240-k-no,restaurant,Google Maps,,,,"Pet-Friendly, Outdoor Seating, Nature Trails",High,5.0,3.5,3.9,4.0,58.0,Couple Retreat,10:00 AM - 6:00 PM,Summer,3:00 PM - 6:00 PM,yes,yes,Chinese,Shopping,5-star
Restaurant Le Triangle,Restaurant,3.5,74.0,-20.2319743,57.635361,"QJ9P+649, B24, St Julien d Hotman, Mauritius",https://www.google.com/maps/search/?api=1&query=Restaurant%20Le%20Triangle&query_place_id=ChIJ6Z_SiQJYfCERZiqNc9egsPo,https://lh5.googleusercontent.com/p/AF1QipPT1KjK6Lofd5t1Cucraa_xx6WhMHcS4dGRpK9f=w408-h306-k-no,restaurant,Google Maps,,,,"Parking, Vegan Options, Takeaway, Alcohol Served, Private Dining, Open Kitchen, Live Music, Wheelchair Accessible, Happy Hours, Free Wi-Fi",Medium,3.1,4.1,4.7,3.9,74.0,Great Food,10:00 AM - 6:00 PM,Summer,3:00 PM - 6:00 PM,no,yes,Chinese,Scenic,5-star
Ocean Basket La Croisette Mall,Restaurant,4.0,809.0,-20.0219747,57.578789,"Prom. des Palmiers, Grand Baie, Mauritius",https://www.google.com/maps/search/?api=1&query=Ocean%20Basket%20La%20Croisette%20Mall&query_place_id=ChIJ4z0FqhOrfSERVgNYgsItcpU,https://lh5.googleusercontent.com/p/AF1QipMIZSr2eGnNwOnmUk8ZzXCxa8ki9D3QCeHij108=w408-h544-k-no,restaurant,Google Maps,,,,"Alcohol Served, Parking, Live Music, Private Dining, Wheelchair Accessible, Kids Menu, Vegan Options, Smoking Area, Open Kitchen, Outdoor Seating",High,4.1,3.2,3.3,3.2,809.0,Historical,9:00 AM - 8:00 PM,Winter,10:00 AM - 2:00 PM,yes,no,Mauritian,Shopping,3-star
Park25 Restaurant,Restaurant,4.8,140.0,-20.0167856,57.5694443,"Boulevard de, MU, Coastal Road, Grand Baie 30515, Mauritius",https://www.google.com/maps/search/?api=1&query=Park25%20Restaurant&query_place_id=ChIJkQNaqgKrfSERRJbuE0ewIhY,https://lh5.googleusercontent.com/p/AF1QipPK14wGyaxoQju-y0ijQ6NutkjWVS4qm2KQOf0p=w408-h306-k-no,restaurant,Google Maps,,,,"Parking, Reservation Required, Smoking Area, Pet-Friendly, Takeaway, Wheelchair Accessible, Kids Menu, Open Kitchen, Outdoor Seating, Private Dining",Low,3.3,4.1,3.1,3.5,140.0,Quiet Getaway,9:00 AM - 8:00 PM,All Year,6:00 PM - 9:00 PM,yes,yes,Indian,Shopping,3-star
Restaurant Chez Manuel,Chinese restaurant,4.1,840.0,-20.2047578,57.6784505,"QMWH+39W, Royal Road, B23, Mauritius",https://www.google.com/maps/search/?api=1&query=Restaurant%20Chez%20Manuel&query_place_id=ChIJuRc2mlD4fCERQBKT4Pk9yOs,https://lh5.googleusercontent.com/p/AF1QipMIghoSVmDVxW_-3Yv7Lnk3zunaQOo-iinAY0GK=w408-h306-k-no,restaurant,Google Maps,,,,"Gym, Spa, Wi-Fi, Private Pools",Luxury,4.8,4.5,3.9,3.1,840.0,Nightlife,24/7,Summer,6:00 PM - 9:00 PM,no,yes,Seafood,Adventure,5-star
Indian Summer Restaurant,Indian restaurant,4.3,1478.0,-20.2440327,57.4880524,"Ebene Commercial Centre, Quatre Bornes, Mauritius",https://www.google.com/maps/search/?api=1&query=Indian%20Summer%20Restaurant&query_place_id=ChIJfRgEyx9bfCER_afwcAc0PFw,https://lh5.googleusercontent.com/p/AF1QipN649_kCjYeL3ciB64DyoLSg5Q4efWl8QBtZvVb=w408-h273-k-no,restaurant,Google Maps,,,,"Gym, Spa, Wi-Fi, Water Sports",Low,3.8,3.1,3.3,4.9,1478.0,Photography Hotspot,10:00 AM - 6:00 PM,Summer,6:00 PM - 9:00 PM,no,yes,Indian,Cultural,4-star
Kesar Indian Restaurant,Indian restaurant,4.0,542.0,-20.1825895,57.7238725,"Opposite Super U, Shell Gas Station Compound, Avenue Président François Mitterrand, Central Flacq, Mauritius",https://www.google.com/maps/search/?api=1&query=Kesar%20Indian%20Restaurant&query_place_id=ChIJVVVVyXv5fCERU2jGR5d3BVg,https://lh5.googleusercontent.com/p/AF1QipMzboj06raywjldIZert8K_l0k6bAT9NDsHbuWb=w408-h306-k-no,restaurant,Google Maps,,,,"Gym, Spa, Wi-Fi, Golf Courses",Medium,4.7,3.9,4.6,4.9,542.0,Pet-Friendly,24/7,All Year,10:00 AM - 2:00 PM,no,no,Mauritian,Adventure,4-star
Restaurant Malibu,Restaurant,4.1,249.0,-20.1550078,57.5973177,"New Congomah Rd, Mauritius",https://www.google.com/maps/search/?api=1&query=Restaurant%20Malibu&query_place_id=ChIJ0akdIIpWfCERfKEvkJMamt4,https://lh5.googleusercontent.com/p/AF1QipMEZGeSkL4-CNYhoWKMXLqOKDO05kqwgu3LaCbn=w426-h240-k-no,restaurant,Google Maps,,,,"Open Kitchen, Outdoor Seating, Free Wi-Fi, Parking, Pet-Friendly, Alcohol Served, Happy Hours, Private Dining, Wheelchair Accessible, Kids Menu",Luxury,3.3,4.8,4.7,4.3,249.0,Beachfront,Closed on Sundays,Summer,6:00 PM - 9:00 PM,yes,no,Indian,Cultural,Luxury
Sangam Taj Restaurant,Restaurant,4.3,34.0,-20.1641891,57.4997619,"EDITH, 6 Edith Cavell St, Port Louis, Mauritius",https://www.google.com/maps/search/?api=1&query=Sangam%20Taj%20Restaurant&query_place_id=ChIJgygz2YxRfCERly9nbkLW4ak,https://lh5.googleusercontent.com/p/AF1QipM2rWE35_1s0f98A3Ayoa8rMRV812IGs33B_YvE=w408-h544-k-no,restaurant,Google Maps,,,,"Wheelchair Accessible, Pet-Friendly, Smoking Area, Free Wi-Fi, Live Music, Private Dining, Happy Hours, Open Kitchen, Alcohol Served, Kids Menu",High,3.6,3.3,3.5,4.6,34.0,Scenic Views,10:00 AM - 6:00 PM,Summer,10:00 AM - 2:00 PM,no,yes,Mauritian,Historical,Luxury
Cocoloko,Restaurant,4.2,940.0,-20.0113925,57.5845549,"XHQM+CRV, B13, Grand Baie, Mauritius",https://www.google.com/maps/search/?api=1&query=Cocoloko&query_place_id=ChIJ26IM-6OrfSER-lUPITwlREA,https://lh5.googleusercontent.com/p/AF1QipNuv4UafxdlduLoBtlHSg_D9vPcLkRay14xI618=w480-h240-k-no,restaurant,Google Maps,,,,"Pet-Friendly, Wheelchair Accessible, Alcohol Served, Live Music, Happy Hours, Parking, Reservation Required, Kids Menu, Open Kitchen, Takeaway",Low,4.8,4.5,4.4,4.0,940.0,Beachfront,Closed on Sundays,All Year,6:00 PM - 9:00 PM,yes,no,French,Cultural,5-star
Wokbox,Asian restaurant,5.0,3.0,-20.0103411,57.5840781,"XHQM+RJR, Grand Baie, Mauritius",https://www.google.com/maps/search/?api=1&query=Wokbox&query_place_id=ChIJqaThSwCrfSERPu7a5sSnMXs,https://lh5.googleusercontent.com/p/AF1QipN6fQoFI0GqM5vSZL7zbMQiMVHolDJ-fCKgA6gc=w408-h725-k-no,restaurant,Google Maps,,,,"Gym, Spa, Wi-Fi, Airport Shuttle",Low,3.1,3.3,3.9,3.6,3.0,Family-Friendly,24/7,All Year,6:00 PM - 9:00 PM,no,no,Mauritian,Historical,5-star
Sauterelle Restaurant,Restaurant,4.7,407.0,-20.0135427,57.5845184,"SUNSET BOULEVARD, Royal Rd, Grand Baie, Mauritius",https://www.google.com/maps/search/?api=1&query=Sauterelle%20Restaurant&query_place_id=ChIJ9WNl4girfSERKFrMCajwPgU,https://lh5.googleusercontent.com/p/AF1QipM7yrkXui_bSOrZMSDNOUURZAIAYnXep3QOK61k=w408-h306-k-no,restaurant,Google Maps,,,,"Free Wi-Fi, Live Music, Smoking Area, Happy Hours, Private Dining, Kids Menu, Wheelchair Accessible, Vegan Options, Open Kitchen, Pet-Friendly",Luxury,4.8,3.9,4.7,3.2,407.0,Relaxing,Closed on Sundays,Winter,3:00 PM - 6:00 PM,yes,no,Chinese,Shopping,Luxury
La Rougaille Creole,Restaurant,4.6,1250.0,-20.0146399,57.5840541,"B13, Grand Baie, Mauritius",https://www.google.com/maps/search/?api=1&query=La%20Rougaille%20Creole&query_place_id=ChIJI_w6LwmrfSERu5I0m4ZmUN8,https://lh5.googleusercontent.com/p/AF1QipMHtYl4T3B_DLZCTVcUmrrEuQNnlZdYCpmUA5Oq=w408-h306-k-no,restaurant,Google Maps,,,,"Wheelchair Accessible, Pet-Friendly, Alcohol Served, Vegan Options, Happy Hours, Parking, Outdoor Seating, Live Music, Takeaway, Free Wi-Fi",Luxury,3.9,3.5,3.4,3.3,1250.0,Couple Retreat,24/7,Winter,10:00 AM - 2:00 PM,no,yes,Mauritian,Historical,3-star
